# Department Structure Research
# output from raw research agent
# Sources: 
# https://www.california.gov/about/organizational-chart
# https://publicpay.ca.gov/Reports/State/State.aspx
# https://en.wikipedia.org/wiki/List_of_California_state_agencies
# https://en.wikipedia.org/wiki/California_Department_of_Public_Health
# https://www.gov.ca.gov/about/orgchart/
# https://en.wikipedia.org/wiki/Government_of_California
# https://www.ca.gov/departments/
# https://ucsd.libguides.com/cagovinfo/executive
# https://www.assembly.ca.gov/system/files/2023-01/Publications/california_assembly_oversight_handbook_2017.pdf
# https://en.wikipedia.org/wiki/California_Natural_Resources_Agency
# https://expositionpark.ca.gov/governance/
# https://globalhealthsciences.ucsf.edu/about-us/our-centers/center-for-global-strategic-information-and-public-health-practice/california-department-of-public-health-programs/
# https://en.wikipedia.org/wiki/Prisons_in_California
# https://en.wikipedia.org/wiki/California_Department_of_Health_Care_Services
# https://publicsectornetwork.com/insight/state-of-the-service-spotlight-californian-innovation-2025
# https://sco.ca.gov/Files-PPSD/active_state_employees_by_department.pdf
# https://publicpay.ca.gov/Reports/State/State.aspx
# https://ucsd.libguides.com/cagovinfo/executive
# https://www.calhr.ca.gov/Pages/home.aspx
"#","Department","parent_agency","org_level","active"
"1","Governor's Office","Executive Branch","1","yes"
"2","Legislative Branch","State Government","1","yes"
"3","Judicial Branch","State Government","1","yes"
"4","Agriculture Agency (CDFA)","Executive Branch","1","yes"
"5","Veterans Affairs Agency","Executive Branch","1","yes"
"6","Constitutional Officers","Executive Branch","2","yes"
"7","California Department of Corrections and Rehabilitation (CDCR)","Governor's Office","2","yes"
"8","Office of Emergency Services (Cal OES)","Governor's Office","2","yes"
"9","Governor's Office of Business and Economic Development (Go-Biz)","Governor's Office","2","yes"
"10","Natural Resources Agency (CNRA)","Governor's Office","2","yes"
"11","Government Operations Agency (CalGovOps)","Governor's Office","3","yes"
"12","Health and Human Services Agency (CHHS)","Governor's Office","3","yes"
"13","Transportation Agency (CalSTA)","Governor's Office","3","yes"
"14","K-12 Education","Department of Education","3","yes"
"15","Higher Education","Department of Education","3","yes"
"16","California Environmental Protection Agency (CalEPA)","Governor's Office","4","yes"
"17","Business, Consumer Services, and Housing Agency (BCSH)","Governor's Office","4","yes"
"18","California Conservation Corps","Natural Resources Agency","3","yes"
"19","Exposition Park","Natural Resources Agency","3","yes"
"20","Colorado River Board (CRB)","Natural Resources Agency","3","yes"
"21","Wildlife Conservation Board","Natural Resources Agency","3","yes"
"22","Native American Heritage Commission","Natural Resources Agency","3","yes"
"23","California Department of Public Health (CDPH)","Health and Human Services Agency","4","yes"
"24","California Department of Health Care Services (DHCS)","Health and Human Services Agency","4","yes"
"25","California Department of Social Services (CDSS)","Health and Human Services Agency","4","yes"
"26","California Department of Food and Agriculture (CDFA)","Agriculture Agency","2","yes"
"27","California Department of Veterans Affairs","Veterans Affairs Agency","2","yes"
"28","California Department of Transportation","Transportation Agency","4","yes"
"29","High-Speed Rail Authority (CAHSRA)","Transportation Agency","4","yes"
"30","California Department of Human Resources","Government Operations Agency","4","yes"
"31","Franchise Tax Board (FTB)","Government Operations Agency","4","yes"
"32","Horse Racing Board (CHRB)","Business, Consumer Services, and Housing Agency","5","yes"
"33","Civil Rights Department (CRD)","Business, Consumer Services, and Housing Agency","5","yes"
"34","Commission on Teacher Credentialing","Department of Education","4","yes"
"35","Student Aid Commission (CSAC)","Department of Education","4","yes"
"36","State Compensation Insurance Fund","Department of Industrial Relations","4","yes"
"37","California Department of Fish and Wildlife (CDFW)","Natural Resources Agency","3","yes"
"38","California Department of Forestry and Fire Protection (CAL FIRE)","Natural Resources Agency","3","yes"
"39","California Department of Parks and Recreation","Natural Resources Agency","3","yes"
"40","California Department of Water Resources","Natural Resources Agency","3","yes"
"41","California Coastal Commission (Coastal)","Natural Resources Agency","3","yes"
"42","California Energy Commission (CEC)","Natural Resources Agency","3","yes"
"43","California State Lands Commission","Natural Resources Agency","3","yes"
"44","San Francisco Bay Conservation and Development Commission","Natural Resources Agency","3","yes"
"45","Delta Protection Commission (Sac-San Joaquin)","Natural Resources Agency","3","yes"
"46","Delta Stewardship Council","Natural Resources Agency","3","yes"
"47","Board of Forestry (BOF)","Natural Resources Agency","3","yes"
"48","Fish and Game Commission (FGC)","Natural Resources Agency","3","yes"
"49","Office of Environmental Health Hazard Assessment (OEHHA)","California Environmental Protection Agency","5","yes"
"50","State Water Resources Control Board","California Environmental Protection Agency","5","yes"
"51","Air Resources Board","California Environmental Protection Agency","5","yes"
"52","Department of Pesticide Regulation","California Environmental Protection Agency","5","yes"
"53","Department of Resources Recycling and Recovery","California Environmental Protection Agency","5","yes"
"54","Department of Toxic Substances Control","California Environmental Protection Agency","5","yes"
"55","Department of Motor Vehicles (DMV)","Transportation Agency","4","yes"
"56","California Highway Patrol (CHP)","Transportation Agency","4","yes"
"57","Department of Financial Protection and Innovation (DBO)","Business, Consumer Services, and Housing Agency","5","yes"
"58","Department of Consumer Affairs","Business, Consumer Services, and Housing Agency","5","yes"
"59","Department of Real Estate","Business, Consumer Services, and Housing Agency","5","yes"
"60","Department of Housing and Community Development","Business, Consumer Services, and Housing Agency","5","yes"
"61","Department of Alcoholic Beverage Control","Business, Consumer Services, and Housing Agency","5","yes"
"62","Department of Fair Employment and Housing","Business, Consumer Services, and Housing Agency","5","yes"
"63","Department of General Services (DGS)","Government Operations Agency","4","yes"
