level,code,description,x_position,page
A,0010,"Legislative, Judicial, and Executive",67.58399963378906,1
1,0020,Legislative,103.58000183105469,1
2,0100,Legislature,139.5800018310547,1
2,0110,Senate,139.5800018310547,1
2,0120,Assembly,139.5800018310547,1
2,0130,Joint Expenses,139.5800018310547,1
2,0150,Contributions to Legislators' Retirement System,139.5800018310547,1
2,0155,Office of the Auditor General (See 8855) - DO NOT USE,139.5800018310547,1
2,0157,Control Section 33.50 - Auditor General and Legislative Analyst,139.5800018310547,1
2,0160,Legislative Counsel Bureau,139.5800018310547,1
2,0170,Calif. Law Revision Comm. (Renum to 8830) - DO NOT USE,139.5800018310547,1
2,0180,Comm. On Uniform State Laws (Renum to 8840) - DO NOT USE,139.5800018310547,1
1,0200,Judicial,103.58000183105469,1
2,0240,"Judicial Center Library, California",139.5800018310547,1
2,0250,Judicial Branch,139.5800018310547,1
2,0260,Supreme Court,139.5800018310547,1
2,0270,Judicial Council,139.5800018310547,1
2,0280,Commission on Judicial Performance,139.5800018310547,1
2,0290,Habeas Resource Center,139.5800018310547,1
2,0300,District Courts of Appeal,139.5800018310547,1
3,0310,First District Court of Appeal,175.5800018310547,1
3,0320,Second District Court of Appeal,175.5800018310547,1
3,0330,Third District Court of Appeal,175.5800018310547,1
3,0340,Fourth District Court of Appeal,175.5800018310547,1
3,0350,Fifth District Court of Appeal,175.5800018310547,1
3,0360,Sixth District Court of Appeal,175.5800018310547,1
2,0390,Contributions to Judges' Retirement System,139.5800018310547,1
2,0420,Salaries of Superior Court Judges,139.5800018310547,1
2,0440,State Block Grant for Superior Court Judgeships,139.5800018310547,1
2,0450,State Trial Court Funding,139.5800018310547,1
2,0460,National Center for State Courts (See 8800),139.5800018310547,1
1,0490,"Executive (Title change, 17/18)",103.58000183105469,1
2,0495,Executive Office of the Governor,139.5800018310547,1
2,0500,Governor's Office,139.5800018310547,1
2,0502,"Technology Agency, California (Renum to 7502, 09/2012) (Abolished 01/01/2013)",139.5800018310547,1
2,0505,Department of Information Technology - DO NOT USE,139.5800018310547,1
2,0509,Governor’s Office of Business and Economic Development (GO-Biz),139.5800018310547,1
2,0510,Secretary for State and Consumer Services,139.5800018310547,1
2,0511,"Secretary for Government Operations Agency (New, 13/14)",139.5800018310547,1
2,0515,"Secretary for Business, Consumer Services, and Housing Agency",139.5800018310547,1
2,0520,"Secretary for Business, Transportation, and Housing – DO NOT USE",139.5800018310547,1
2,0521,"Secretary for Transportation Agency (New, 13/14)",139.5800018310547,1
2,0525,"Secretary of Technology, Trade, and Commerce",139.5800018310547,1
2,0530,Secretary for California Health and Human Services Agency,139.5800018310547,1
3,0531,Office of Technology and Solutions Integration (Retitled 7/2023),175.5800018310547,2
2,0540,Secretary of the Natural Resources,139.5800018310547,2
2,0550,Secretary for Youth and Adult Correctional Agency,139.5800018310547,2
2,0552,Office of the Inspector General,139.5800018310547,2
2,0553,Office of Inspector General for Veterans Affairs (Abolished 08/11/2004),139.5800018310547,2
2,0555,Secretary for Environmental Protection,139.5800018310547,2
2,0558,Office of the Secretary for Education,139.5800018310547,2
2,0559,Secretary for Labor and Workforce Development Agency,139.5800018310547,2
2,0560,Office for Citizen Initiative and Voluntary Action,139.5800018310547,2
2,0565,California Commission on Industrial Innovation,139.5800018310547,2
2,0570,Governor's Council on Wellness and Physical Fitness,139.5800018310547,2
2,0580,Office of California/Mexico Affairs,139.5800018310547,2
2,0585,World Trade Commission - DO NOT USE,139.5800018310547,2
2,0590,Southwest Border Reg. Comm. (Merged into 0580) - DO NOT USE,139.5800018310547,2
2,0595,State Inspector General,139.5800018310547,2
2,0596,"Service and Volunteering, California Agency on",139.5800018310547,2
2,0610,Office of Information Services - DO NOT USE,139.5800018310547,2
2,0620,Office of Employee Relations (Merged into 8380) - DO NOT USE,139.5800018310547,2
2,0630,Office of Special Health Care Negotiations,139.5800018310547,2
2,0650,Governor’s Office of Land Use and Climate Innovation (Retitled 7/1/2024),139.5800018310547,2
2,0660,Office of Economic Opportunity (Renum to 8915) - DO NOT USE,139.5800018310547,2
2,0670,Office of Long Term Care,139.5800018310547,2
2,0680,Governor’s Office of Service and Community Engagement (New 7/1/2024),139.5800018310547,2
2,0690,Office of Emergency Services (Formerly California Emergency Management Agency;,139.5800018310547,2
2,0695,Natural Disaster Assistance,139.5800018310547,2
2,0697,Northridge Earthquake,139.5800018310547,2
2,0720,Governor's Portrait,139.5800018310547,2
2,0730,Governor Elect and Outgoing Governor,139.5800018310547,2
2,0750,Office of the Lieutenant Governor (Total),139.5800018310547,2
3,0760,Office of the Lieutenant Governor,175.5800018310547,2
3,0780,Rural Youth Employment Commission,175.5800018310547,2
2,0820,Department of Justice,139.5800018310547,2
2,0825,O.J. Hawkins Data Center,139.5800018310547,2
2,0840,State Controller,139.5800018310547,2
2,0841,State Controller’s Statewide Information Technology Projects,139.5800018310547,2
2,0845,Department of Insurance (Renum from 2290),139.5800018310547,2
2,0850,"Lottery Commission, California State",139.5800018310547,2
2,0855,California Gambling Control Commission,139.5800018310547,2
2,0860,State Board of Equalization,139.5800018310547,2
2,0870,Office of Tax Appeals (New 17/18),139.5800018310547,2
2,0880,Secretary of State,139.5800018310547,2
2,0890,Secretary of State,139.5800018310547,2
3,0900,Heritage Preservation Commission,175.5800018310547,2
3,0910,Commission on Voting Machines and Vote Tabulating Devices,175.5800018310547,2
3,0911,Citizens Redistricting Commission,175.5800018310547,2
3,0920,Special Statewide Elections - DO NOT USE,175.5800018310547,3
2,0950,State Treasurer,139.5800018310547,3
2,0953,Local Agency Indebtedness Fund Loan Program,139.5800018310547,3
2,0954,Scholarshare Investment Board,139.5800018310547,3
2,0955,California Revenue Bonds Financing Authority,139.5800018310547,3
2,0956,"Debt and Investment Advisory Commission, California",139.5800018310547,3
2,0957,"California Hope, Opportunity, Perseverance and Empowerment (Hope) for Children",139.5800018310547,3
2,0959,"Debt Limit Allocation Committee, California",139.5800018310547,3
2,0960,Local Agency Indebt Program (Renum to 0953) - DO NOT USE,139.5800018310547,3
2,0962,"Rail Passenger Financing Commission, California",139.5800018310547,3
2,0964,"Transportation Financing Authority, California",139.5800018310547,3
2,0965,"Industrial Development Financing Advisory Commission, California – DO",139.5800018310547,3
2,0968,California Tax Credit Allocation Committee,139.5800018310547,3
2,0970,Calif. Debt Advisory Comm. (Renum to 0956) - DO NOT USE,139.5800018310547,3
2,0971,California Alternative Energy & Advanced Transportation Financing Authority,139.5800018310547,3
2,0972,Sacramento City Financing Authority (Abolished 07/01/2023),139.5800018310547,3
2,0973,Riverside County Public Financing Authority (Abolished 07/01/2023),139.5800018310547,3
2,0974,"Pollution Control Financing Authority, California",139.5800018310547,3
2,0975,Los Angeles State Building Authority – DO NOT USE,139.5800018310547,3
2,0976,Capitol Area Development Authority,139.5800018310547,3
2,0977,"Health Facilities Financing Authority, California",139.5800018310547,3
2,0978,San Francisco State Building Authority (Abolished) - DO NOT USE,139.5800018310547,3
2,0979,Oakland Joint Powers Authority (Abolished 07/01/2023),139.5800018310547,3
2,0980,"Housing Finance Agency, California (Temp) - DO NOT USE",139.5800018310547,3
2,0981,California ABLE Act Board,139.5800018310547,3
2,0983,"Urban Waterfront Area Restoration Financing Authority, California",139.5800018310547,3
2,0984,CalSavers Retirement Savings Board,139.5800018310547,3
2,0985,"School Finance Authority, California",139.5800018310547,3
2,0986,California Student Loan Authority,139.5800018310547,3
2,0989,"Educational Facilities Authority, California (Info. Display Only)",139.5800018310547,3
2,0991,"Fiscal Recovery Financing Authority, California",139.5800018310547,3
2,0992,Hazardous Substance Cleanup Financing Authority - DO NOT USE,139.5800018310547,3
2,0993,Simon Wiesenthal Center - Museum of Tolerance,139.5800018310547,3
2,0994,"Task Force to Promote Self-Esteem, and Personal and Social",139.5800018310547,3
2,0995,Payment of Interest on PMIA Loans - LJE - DOF USE ONLY,139.5800018310547,3
2,0996,General Obligation Bonds - LJE - DOF USE ONLY,139.5800018310547,3
2,0998,"Mandated Local Costs, State - LJE - DOF USE ONLY",139.5800018310547,3
2,0999,Miscellaneous Adjustments - LJE - DOF USE ONLY,139.5800018310547,3
A,1000,"Business, Consumer Services, and Housing (Formerly State and Consumer Svcs, 13/14)",67.58399963378906,3
2,1015,"Secretary for Business, Consumer Services, and Housing Agency - DOF USE ONLY",139.5800018310547,3
1,1020,No Subagency - DO NOT USE,99.14399719238281,3
2,1030,Secretary of State and Consumer Services - DOF USE ONLY,139.5800018310547,3
2,1045,Cannabis Control Appeals Panel (New 17/18),139.5800018310547,3
2,1080,Department of Commerce (Renum to 2200) - DO NOT USE,139.5800018310547,4
2,1100,"California Science Center (Renum to 3100, 09/2012) (Abolished 01/01/2013)",139.5800018310547,4
3,1105,"California African-American Museum (Renum to 3105, 09/2012)",171.13999938964844,4
2,1108,"Aerospace Commission, California",139.5800018310547,4
2,1110,"Consumer Affairs - Regulatory Boards, Department of (Abolished 07/01/2016)",139.5800018310547,4
3,1120,California Board of Accountancy,175.5800018310547,4
3,1130,California Board of Architectural Examiners,175.5800018310547,4
3,1140,State Athletic Commission,175.5800018310547,4
3,1150,"Bureau of Automotive Repair (Moved to 1111, 94/95) (Abolished 07/2023)",175.5800018310547,4
3,1160,"Board of Barber Examiners (Moved to 1111, 92/93) (Abolished 07/2023)",175.5800018310547,4
3,1165,"Board of Barbering and Cosmetology, State (Moved to 1111, 97/98)",175.5800018310547,4
3,1170,Board of Behavioral Sciences,175.5800018310547,4
3,1180,"Cemetery Board (Moved to 1111, 76/77) (Abolished 07/2023)",175.5800018310547,4
3,1190,"Bureau of Security & Investigative Serv. (Moved to 1111, 94/95)",175.5800018310547,4
3,1200,"Bureau of Security & Invest. Serv. (Moved to 1111, 94/95)",211.61000061035156,4
3,1210,Private Investigators and Adjusters (Moved to 1111),211.61000061035156,4
3,1220,Board of Registered Construction Inspectors - DO NOT USE,175.5800018310547,4
3,1230,Contractors' State License Board,175.5800018310547,4
3,1240,Board of Cosmetology,175.5800018310547,4
3,1250,Board of Dentistry,175.5800018310547,4
3,1260,Dental Board of California,211.61000061035156,4
3,1270,Committee on Dental Auxiliaries,211.61000061035156,4
3,1280,"Bureau of Electronic & Appliance Repair (Moved to 1111, 94/95)",175.5800018310547,4
3,1300,Bureau of Personnel Services (Abolished) - DO NOT USE,175.5800018310547,4
3,1310,Nurses Registry (Moved to 1510),175.5800018310547,4
3,1320,Board of Dry Clean & Fabric Care (Abolished 1/87) - DO NOT USE,175.5800018310547,4
3,1330,"Board of Funeral Directors and Embalmers (Moved to 1111, 96/97",175.5800018310547,4
3,1335,"St. Board of Funeral & Cemetery Serv. (Moved to 1111, 94/95)",175.5800018310547,4
3,1340,Board for Geologists and Geophysicists,175.5800018310547,4
3,1350,State Board of Guide Dogs for the Blind,175.5800018310547,4
3,1360,"Bureau of Home Furnish & Thermal Insulation (Moved to 1111, 95)",175.5800018310547,4
3,1370,"Board of Landscape Architects (Moved to 1111, 97/98) (Abolished 07/2023)",175.5800018310547,4
3,1380,Medical Board of California,175.5800018310547,4
3,1390,Medical Board of California,211.61000061035156,4
3,1395,Registered Dispensing Optician Committee - DO NOT USE,211.61000061035156,4
3,1400,Acupuncture Board,211.61000061035156,4
3,1410,Hearing Aid Dispensers' Examining Committee,211.61000061035156,4
3,1420,Physical Therapy Board of California,211.61000061035156,4
2,1111,"Department of Consumer Affairs (Retitled, 17/18)",139.5800018310547,5
2,1115,Department of Cannabis Control,139.5800018310547,5
3,1430,Physician Assistant Board,211.61000061035156,5
3,1440,Board of Podiatry Medicine,211.61000061035156,5
3,1450,Board of Psychology,211.61000061035156,5
3,1455,Respiratory Care Board of California,211.61000061035156,5
3,1460,Speech - Language Pathology & Audiology & Hearing Aid Dispensers,211.61000061035156,5
3,1470,"St. Board of Nursing Home Adminis. (Moved to 1111, 98/99)",175.5800018310547,5
3,1475,California Board of Occupational Therapy,175.5800018310547,5
3,1480,State Board of Optometry,175.5800018310547,5
3,1485,Osteopathic Medical Board of California (Moved from 8510),175.5800018310547,5
3,1490,California State Board of Pharmacy,175.5800018310547,5
3,1495,Polygraph Examiners Board (Abolished) - DO NOT USE,175.5800018310547,5
3,1500,"Board for Professional Engineers, Land Surveyors, and Geologist",175.5800018310547,5
3,1510,Board of Registered Nursing,175.5800018310547,5
3,1520,Court Reporters Board of California,175.5800018310547,5
3,1530,Structural Pest Control Board,175.5800018310547,5
3,1540,"Tax Preparers Program (Moved to 1111, 94/95) (Abolished 07/2023)",175.5800018310547,5
3,1550,Veterinary Medicine,175.5800018310547,5
3,1560,Board of Examiners for Veterinary Medicine,211.61000061035156,5
3,1570,Registered Veterinary  Technician Committee,211.61000061035156,5
3,1580,Board of Vocational Nursing and Psychiatric Technicians of the state,175.5800018310547,5
3,1590,Vocational Nursing Program,211.61000061035156,5
3,1600,Psychiatric Technician Program,211.61000061035156,5
3,1630,"Consumer Affairs-Admin Svs. (Renum to 1655, 12/81) -",175.5800018310547,5
3,1640,Division of Consumer Services - DO NOT USE,175.5800018310547,5
3,1650,Consumer Advisory Council - DO NOT USE,175.5800018310547,5
3,1655,"Dept. of Consumer Affairs - Admin Svs. (Moved to 1111, 94/95)",175.5800018310547,5
3,1660,"Division of Investigation (Moved to 1111, 94/95) (Abolished 07/2023)",211.61000061035156,5
3,1670,Division of Administration (Moved to 1111) - DO NOT USE,211.61000061035156,5
3,1680,Building Mainten. and Operation - (moved to 1111) (Abolished 07/2023),211.61000061035156,5
2,1690,Alfred E. Alquist Seismic Safety Commission – DO NOT USE,139.5800018310547,5
2,1700,"Civil Rights Department (Retitled, 21/22)",139.5800018310547,5
2,1701,"Department of Financial Protecion & Innovation (New, 13/14; Retitied, 20/21)",139.5800018310547,5
2,1703,California Privacy Protection Agency,139.5800018310547,5
2,1705,"Fair Employment and Housing Commission (Merged into 1700, 13/14)",139.5800018310547,5
2,1710,Office of the State Fire Marshal (Merged into 3540) - DO NOT USE,139.5800018310547,5
2,1730,"Franchise Tax Board (Renum to 7730, 09/2012) (Abolished 01/01/2013)",139.5800018310547,5
2,1750,"California Horse Racing Board (Renum from 8550, 09/2012)",139.5800018310547,5
2,1760,"Department of General Services (Renum to 7760, 09/2012) (Abolished 01/01/2013)",139.5800018310547,5
3,1770,Department of General Services - DO NOT USE,175.5800018310547,5
3,1780,"Public Works Board (Renum to 8850, 7/89) - DO NOT USE",175.5800018310547,5
3,1790,Office of State Architect,175.5800018310547,6
3,1800,Office of State Printing,175.5800018310547,6
3,1820,Office of Public School Construction,175.5800018310547,6
3,1830,State Allocation Board - SCO/DGS USE ONLY,207.1699981689453,6
2,1840,Office of the California State Police - DO NOT USE,139.5800018310547,6
2,1860,Intergovernmental Personnel Act Advisory Council,139.5800018310547,6
2,1870,California Victim Compensation & Government Claims Board (Formerly Board of,139.5800018310547,6
2,1880,State Personnel Board,139.5800018310547,6
2,1900,"Public Employees' Retirement System (Renum to 7900, 09/2012)",139.5800018310547,6
2,1920,"State Teachers' Retirement System (Renum to 7920, 09/2012) (Abolished 01/01/2013)",139.5800018310547,6
2,1950,Department of Veterans Affairs - DO NOT USE,139.5800018310547,6
2,1955,Department of Technology Services,139.5800018310547,6
3,1960,Department of Veterans Affairs - DO NOT USE,175.5800018310547,6
3,1970,Veterans' Home of California - Yountville - DO NOT USE,175.5800018310547,6
3,1975,Veterans’ Home of California - Barstow - DO NOT USE,175.5800018310547,6
2,1980,Vietnam Veterans' Memorial Commission - DO NOT USE,139.5800018310547,6
2,1985,Veterans Memorial Commission - DO NOT USE,139.5800018310547,6
2,1995,Payment of Interest on PMIA Loans - SCS - DOF USE ONLY,139.5800018310547,6
2,1996,General Obligation Bonds - BCH - DOF USE ONLY,139.5800018310547,6
2,1998,"Mandated Local Costs, State - SCS - DOF USE ONLY",139.5800018310547,6
2,1999,Miscellaneous Adjustments - SCS - DOF USE ONLY,139.5800018310547,6
2,2050,"Business, Transportation, and Housing Agency Programs*",139.5800018310547,6
3,2060,Solar Cal Office,175.5800018310547,6
3,2070,Solar Business Office*,175.5800018310547,6
2,2080,Solar and Energy Conservation Mortgage Corporation,139.5800018310547,6
2,2100,Department of Alcoholic Beverage Control,139.5800018310547,6
2,2120,Alcoholic Beverage Control Appeals Board,139.5800018310547,6
2,2140,State Banking Department (Merged into 2150) (Abolished 7/1/1997),139.5800018310547,6
2,2150,"Department of Financial Institutions (Merged into 1701, 13/14) (Abolished 01/01/2013)",139.5800018310547,6
2,2160,California Job Creation Program (Merged into 2920) (Abolished 01/01/1993),139.5800018310547,6
2,2180,"Department of Corporations (Merged into 1701, 13/14) (Abolished 01/01/2013)",139.5800018310547,6
2,2190,Major Risk Medical Insurance Board - DO NOT USE,139.5800018310547,6
2,2200,Department of Commerce (Merged into 2920) (Abolished 01/01/1993),139.5800018310547,6
2,2222,"State Assistance Fund for Enterprise, Business and Industrial Development",139.5800018310547,6
2,2225,Unitary Fund Programs,139.5800018310547,6
2,2230,CA Indust. Finance Advisory Comm. (Renum to 0965) - DO NOT USE,139.5800018310547,6
2,2235,California Home Loan Mortgage Association,139.5800018310547,6
2,2240,"Department of Housing and Community Development (Moved from agency 2000,",139.5800018310547,6
